########### On-time data for all flights that departed NYC in 2013 ############
carrier: Two letter carrier abbreviation. 
origin,dest: Origin and destination. 
distance: distance between airports, in miles
time_hour: Scheduled date and hour of the flight
airtime: Amount of time spent in the air, in seconds
tailnum: Plane tail number
##############################################################################

x carrier origin dest distance time_hour tailnum air_time
1 FL	LGA      CAK    397    "2013-11-03 20:00:00"				N955AT	3840
2 UA	EWR   LAS         2227    "2013-09-05 07:00:00"				N38257		17160
3 EV	EWR      CLT    529    "2013-06-03 19:00:00"				N11150	4860
4 UA	EWR      IAH         1400    "2013-03-18 16:00:00"				N670UA			12840
5 DL	JFK      ATL         760    "2013-08-03 06:00:00"				N706TW			6420
6 ## This flight is very interesting!!!
7 B6	JFK      SLC         1990    "2013-03-10 19:00:00"				N556JB			16080
8 AA	EWR      DFW    1372    "2013-04-03 09:00:00"				N4XVAA		13080
9 EV     LGA   GSO         461    "2013-10-13 14:00:00"				N710EV	4080
10 EV     EWR      DSM    1017    "2013-07-01 19:00:00"				N14174	8640
11 EV      EWR   BWI         169    "2013-08-24 21:00:00"				N12136			1920
12 B6      LGA      FLL    1076    "2013-05-24 19:00:00"				N571JB	8700
13 EV     LGA   BNA    764    "2013-03-27 08:00:00"				N614QX	6840
14 B6     JFK   BUF         301    "2013-09-09 06:00:00"				N190JB			3300
15 EV     EWR   PWM         284    "2013-06-11 08:00:00"				N14920	2700
16 ## This flight is very interesting!!!
17 MQ      LGA      CLT         544    "2013-02-21 06:00:00"				N525MQ		5040
18 AA      JFK   BOS    187    "2013-03-13 16:00:00"				N3KBAA		2640
19 ## This flight is very interesting!!!
20 EV	EWR      CVG         569    "2013-09-27 20:00:00"				N16961			4740
21 DL     JFK   PDX    2454    "2013-10-02 16:00:00"				N3766	19320
22 YV      LGA   CLT         544    "2013-12-30 11:00:00"				N918FJ	5700
23 ## This flight is very interesting!!!
24 MQ	LGA      CMH         479    "2013-03-11 15:00:00"				N722MQ	4800
25 ## This flight is very interesting!!!
26 EV     EWR      RIC         277    "2013-08-06 20:00:00"				N27190	2760
27 B6	JFK   BOS         187    "2013-03-09 22:00:00"				N605JB	2100
28 B6   JFK   RDU    427    "2013-10-12 07:00:00"				N346JB	4020
